API #,Well Name_x,Operator Name,County,State,Latitude,Longitude,Well_file_no,stimulation_date,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,type_treatment,acid,lbs_prop,max_psi,bbls_min
33-053-04856,COLUMBUS FEDERAL 3-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075449,-103.669687,25160,3/2/2014,Bakken,10968,23122,41,74589,Barrels,Sand Frac,N/A,3788746,7979,31.0
33-105-02719,ATLANTA 14-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109434,-103.727494,23359,1/2()/2014,3 Forks,10924,19085,27,51087,Barrels,Sa11d Frac,N/A,3009408,8352,28.0
33-105-02728,ATLANTA FEDERAL 5-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10951,-103.730156,23368,11/19/2013,MB,10858,21165,31,71324,Barrels,N/A,N/A,3651745,7993,31.0
33-105-02723,ATLANTA FEDERAL 10-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109455,-103.728231,23363,"12"" 8/2014",3 Forks,10918,20517,30,58554,Barrels,N/A,N/A,3483041,7877,24.0
33-053-03943,MAGNUM 1-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.025064,-103.622135,22247,3/30/2012,Middle Bakken,N/A,N/A,(PS,38498,N/A,Sand Frac,N/A,N/A,6790,36.7
33-105-02731,ATLANTA 2-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109546,-103.731344,23371,10/31l /2013,3 Forks,10888,20055,25,45855,Barrels,Sand Frac,N/A,2980006,8500,25.0
33-105-02724,ATLANTA FEDERAL 9-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10946,-103.728415,23364,12126/2013,Middle Bakken,10854,21315,34,59949,Barrels,N/A,N/A,3970139,8018,31.0
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634,20864,N/A,N/A,N/A,N/A,N/A,iinet,ae,N/A,N/A,N/A,N/A,N/A
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634,22740,09/08/2012,Bakken,11080,21140 |,36,80480,Barrels,Sand Frac,N/A,3600530,9705,39.5
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634,22221,09/07/2013,Bakken,11117,21122,36,90354,Barrels,Sand Frac,N/A,3765029,8782,37.7
33-053-06549,LEWIS FEDERAL 5300 11-31 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035926,-103.6031,30189,N/A,N/A,N/A,N/A,N/A,305814,Barrels,Sand Frac,N/A,6010700,N/A,N/A
33-053-05924,CHALMERS 5301 44-24 2TR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055866,-103.604903,28342,10/31/2014,Three Forks,11043,20883,36,207943,Barrels,Sand Frac,N/A,3775876,9936,73.0
33-053-05954,WADE FEDERAL 5300 41-30 6B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041298,-103.603014,28425,04/24/2015,Bakken,10032,20425,50,188339,Barrels,Sand Frac,N/A,9170249,9033,38.0
33-053-06011,CHALMERS 5301 44-24 4T2R,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055641,-103.604904,28600,11/25/2014,Three Forks,11074,20938,36,98038,Barrels,Sand Frac,N/A,6229694,8877,38.0
33-053-06030,KLINE FEDERAL 5300 41-18 12TX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068816,-103.602866,28658,N/A,N/A,N/A,N/A,N/A,N/A,Barrels,Sand Frac,N/A,N/A,N/A,N/A
33-053-05849,LEWIS FEDERAL 5300 21-31 5B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.031808,-103.603086,28194,07′1672019,Bakken,N/A,N/A,35,Barrels,N/A,Sand Frac,N/A,N/A,N/A,N/A
33-053-06231,GRAMMA FEDERAL 5300 41-31 12B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.026154,-103.602783,29316,05/26/2015,Bakken,11132,20435,50,168692,Barrels,Sand Frac,N/A,9139069,9676,37.6
33-053-06029,KLINE FEDERAL 5300 41-18 14BX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068635,-103.602863,28655,06/09/2015,Bakken,11113,20645,50,214895,Barrels,Sand Frac,N/A,9543260,9411,41.0
33-053-06223,KLINE FEDERAL 5300 11-18 5B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.078987,-103.602835,29242,07/16/2015,Bakken,N/A,20891,36,209044,Barrels,Sand Frac,N/A,4192230,9205,73.0
33-053-06021,CHALMERS 5300 21-19 8T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061525,-103.602523,28636,04/25/2015,Three Forks,11165,20511,36,96178,Barrels,Sand Frac,N/A,N/A,9390,40.0
33-053-04852,COLUMBUS FEDERAL 1-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.074859,-103.67017,25156,7/7/2013,Bakken,11386,21276,30,48693,Barrels,Sand Frac,N/A,2686987,7682,30.0
33-105-02722,ATLANTA 11-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10945,-103.728047,23362,1/12/~20~1~4~~~-,M~i~d~d~le~B~a~k~k~en:,0~89~6T--,~1~96~9~7~~2,~9~--~~--:::-=::-~r.,-4~8~84_7-:------,B~a7r_re~ls:-;::;-;--;::-,Sancl Frac,N/A,3069436,8094,30.0
33-053-05845,LEWIS FEDERAL 5300 21-31 6B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.031718,-103.603085,28190,N/A,Bakken,N/A,N/A,N/A,N/A,Barrels,Sand Frac,N/A,6052935,N/A,N/A
33-053-06056,KLINE FEDERAL 5300 31-18 7T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.074452,-103.602935,28755,07/1212015,Three Forks,19681,20551,3,10330,Barrels,Sand Frac,N/A,295940,8729,35.9
33-053-03944,MAGNUM 2-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.024944,-103.605063,22249,11/M/2012,Middle Bakken,11104,20705,32,22133,Barrels,Sane I Frac,N/A,1160090,8403,39.7
33-053-04981,COLVILLE 5301 44-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082623,-103.607895,25571,09/11/2013,Bakken,N/A,21090,36,95801,Barrels,Sand Frac,N/A,3826701,9406,36.0
33-105-02725,ATLANTA FEDERAL 8-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109493,-103.729603,23365,12/14/2014,3 Forks,10865,22585,38,72511,Barrels,N/A,N/A,3764730,8557,23.0
33-053-90244,BUCK SHOT SWD 5300 31-31,FALCON MIDSTREAM SERVICES LLC,McKenzie County,ND,48.0291,-103.599403,90244,07/20/2013,N/A,5625I,6150,8,9000,Gallons,Acid,N/A,N/A,N/A,N/A
33-053-06028,KLINE FEDERAL 5300 41-18 13T2X,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068726,-103.602865,28654,06/09/2015,Three Forks Second,11185,20754,50,126978,Barrels,Sand Frac,N/A,4230380,9122,39.0
33-053-05943,WADE FEDERAL 5300 41-30 4T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.042266,-103.603158,28394,04/08/2015,Three Forks,11079,20187,50,238848,Barrels,Sand Frac,N/A,9362098,8608,35.0
33-053-06755,KLINE FEDERAL 5300 31-18 15T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.074633,-103.602938,30789,07/13/2015,Three Forks,19506,20531 |,4,13837,Barrels,Sand Frac,N/A,404000,8765,36.2
33-053-04854,TALLAHASSEE 2-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075235,-103.669874,25158,3/14/2014,Bakken,11080,18127,24,56607,Barrels,Sand Frac,N/A,3013084,7518,30.0
33-105-02726,ATLANTA FEDERAL 7-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109499,-103.729788,23366,12/13/2013,Middle Bakken,10821,23100,40,62806,Barrels,N/A,N/A,4810703,8461,28.0
33-053-00605,WRRMU 4-28,SM ENERGY COMPANY,McKenzie County,ND,47.346236,-103.55443,28754,07/13/2015,Bakken,18852,20390 |,6,19114,Barrels,Sand Frac,N/A,577940,8860,36.7
33-105-02720,ATLANTA 13-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109439,-103.727678,23360,2/5/:!014,Middle Bakken,10850,19185,29,47452,Barrels,N/A,N/A,3069694,7468,26.0
33-053-06243,KLINE FEDERAL 5300 11-18 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.079234,-103.60267,29334,07/16/2015,Bakken,11024,N/A,36,209640,Barrels,Sand Frac,N/A,4168220,9141,73.0
33-053-05998,WADE FEDERAL 5300 41-30 7T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041208,-103.603016,28557,04/24/2015,Three Forks,11167,20517,36,134353,Barrels,Sand Frac,N/A,3973130,9218,39.0
33-053-03413,WADE FEDERAL 5300 21-30H,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.047147,-103.6031,20197,Cased Hol,Bakken,N/A,N/A,N/A,N/A,Barrels,N/A,N/A,4440376,N/A,42.3
33-053-06129,WADE FEDERAL 5300 21-30 12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.048736,-103.602904,28976,03/16/2015,Three Forks,11078I,20374,50,190732,Barrels,Sand Frac,N/A,9170590,9035,43.0
33-053-04069,MAGNUM 3-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.024944,-103.605166,22731,7I7IZ012,Middle Bakken,11126,21145,[35,40332,Barrels,Sand Frac,N/A,3630945,7548,34.0
33-053-06026,KLINE FEDERAL 5300 41-18 10B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068997,-103.602868,28652,06/26/2015,Bakken,11125I,20460,50,192526,Barrels,Sand Frac,N/A,9254340,8844,39.0
33-053-06051,WADE FEDERAL 5300 41-30 9B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041027,-103.60302,28744,N/A,Bakken,11552,20265,50,171968,Barrels,Sand Frac,N/A,9289252,9310,37.0
33-053-90329,CARSON SWD 5301 12-24,FALCON MIDSTREAM SERVICES LLC,McKenzie County,ND,48.066082,-103.615308,90329,N/A,N/A,I,N/A,N/A,N/A,Barrels,N/A,N/A,N/A,N/A,N/A
33-053-04855,COLUMBUS FEDERAL 2-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075342,-103.66978,25159,2/27/2014,Three Forks,10850,23475,43,85599,Barrels,Sand Frac,N/A,3937842,8493,31.0
33-105-02727,ATLANTA FEDERAL 6-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109504,-103.729972,23367,11/21/2013,3 Forks,10858,22005,37,64611,Barrels,Sanil Frac,N/A,3841831,8539,24.0
33-053-05995,WADE FEDERAL 5300 31-30 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.042447,-103.603155,28554,04/08/2015,Bakken,11034,20595,50,215747,Barrels,Sand Frac,N/A,9121901,8832,37.0
33-053-06548,LEWIS FEDERAL 5300 11-31 3B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035835,-103.603111,30188,06′20′2019,Bakken,N/A,N/A,40,N/A,Barrels,Sand Frac,N/A,6006140,N/A,N/A
33-053-06012,CHALMERS WADE FEDERAL 5301 44-24 12TXR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055551,-103.604905,28601,11/25/2014,Three Forks,11418,21025,36,95600,Barrels,Sand Frac,N/A,9370930,9044,37.2
33-105-02729,ATLANTA 4-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109535,-103.730975,23369,11/E /2013,3 Forks,10913,20504,31,51878,Barrels,N/A,N/A,3223232,8540,28.0
33-053-05906,WADE FEDERAL 5300 31-30 11T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.044162,-103.60267,28303,03/29/2015,Three Forks,11080,20453,36,123705,Barrels,Sand Frac,N/A,3976880,8968,39.0
33-053-04853,TALLAHASSEE 3-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075131,-103.669967,25157,3/14/2014,Three Forks,10830,18434,24,64952,Barrels,Sand Frac,N/A,2829582,8491,31.0
33-105-02721,ATLANTA 12-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109444,-103.727862,23361,111 ::/2014,3 Forks,10895,19500,29,53948,Barrels,N/A,N/A,3098438,8528,30.0
33-053-06010,CHALMERS 5301 44-24 3BR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055776,-103.604903,28599,10/30/2014,Bakken,10910,20833,36,206015,Barrels,Sand Frac,N/A,4076819,9177,75.0
