stimulation_date,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,type_treatment,acid,lbs_prop,max_psi,bbls_min,file_num
Cased Hol,Bakken,,,,,Barrels,,,4440376,,42.3,20197
,Bakken,,,,,Barrels,,,,8672,41.2,20407
11/6/2011,Bakken,10162,20440,|Cased Hole,74475,Barrels,Sand Frac,,4519292,8877,43.6,20863
,,,,,iinet,ae,,,,,,20864
01/11/2012,Bakken,10952,20850 |,13,1822380,Gallons,Sand Frac,,1450600,8842,45.5,21266
05/19/2012,Bakken,10956,20924 |,20,77312,Barrels,Sand Frac,,3053400,§844,57.0,21796
09/07/2013,Bakken,11117,21122,36,90354,Barrels,Sand Frac,,3765029,8782,37.7,22221
3/30/2012,Middle Bakken,,,(PS,38498,,Sand Frac,,,6790,36.7,22247
11/M/2012,Middle Bakken,11104,20705,32,22133,Barrels,Sane I Frac,,1160090,8403,39.7,22249
7I7IZ012,Middle Bakken,11126,21145,[35,40332,Barrels,Sand Frac,,3630945,7548,34.0,22731
09/08/2012,Bakken,11080,21140 |,36,80480,Barrels,Sand Frac,,3600530,9705,39.5,22740
1/2()/2014,3 Forks,10924,19085,27,51087,Barrels,Sa11d Frac,,3009408,8352,28.0,23359
2/5/:!014,Middle Bakken,10850,19185,29,47452,Barrels,,,3069694,7468,26.0,23360
111 ::/2014,3 Forks,10895,19500,29,53948,Barrels,,,3098438,8528,30.0,23361
1/12/~20~1~4~~~-,M~i~d~d~le~B~a~k~k~en:,0~89~6T--,~1~96~9~7~~2,~9~--~~--:::-=::-~r.,-4~8~84_7-:------,B~a7r_re~ls:-;::;-;--;::-,Sancl Frac,,3069436,8094,30.0,23362
"12"" 8/2014",3 Forks,10918,20517,30,58554,Barrels,,,3483041,7877,24.0,23363
12126/2013,Middle Bakken,10854,21315,34,59949,Barrels,,,3970139,8018,31.0,23364
12/14/2014,3 Forks,10865,22585,38,72511,Barrels,,,3764730,8557,23.0,23365
12/13/2013,Middle Bakken,10821,23100,40,62806,Barrels,,,4810703,8461,28.0,23366
11/21/2013,3 Forks,10858,22005,37,64611,Barrels,Sanil Frac,,3841831,8539,24.0,23367
11/19/2013,MB,10858,21165,31,71324,Barrels,,,3651745,7993,31.0,23368
11/E /2013,3 Forks,10913,20504,31,51878,Barrels,,,3223232,8540,28.0,23369
10/31l /2013,3 Forks,10888,20055,25,45855,Barrels,Sand Frac,,2980006,8500,25.0,23371
7/7/2013,Bakken,11386,21276,30,48693,Barrels,Sand Frac,,2686987,7682,30.0,25156
3/14/2014,Three Forks,10830,18434,24,64952,Barrels,Sand Frac,,2829582,8491,31.0,25157
3/14/2014,Bakken,11080,18127,24,56607,Barrels,Sand Frac,,3013084,7518,30.0,25158
2/27/2014,Three Forks,10850,23475,43,85599,Barrels,Sand Frac,,3937842,8493,31.0,25159
3/2/2014,Bakken,10968,23122,41,74589,Barrels,Sand Frac,,3788746,7979,31.0,25160
09/11/2013,Bakken,,21090,36,95801,Barrels,Sand Frac,,3826701,9406,36.0,25571
,Bakken,,,,,Barrels,Sand Frac,,6052935,,,28190
07′1672019,Bakken,,,35,Barrels,,Sand Frac,,,,,28194
03/29/2015,Three Forks,11080,20453,36,123705,Barrels,Sand Frac,,3976880,8968,39.0,28303
10/31/2014,Three Forks,11043,20883,36,207943,Barrels,Sand Frac,,3775876,9936,73.0,28342
04/08/2015,Three Forks,11079,20187,50,238848,Barrels,Sand Frac,,9362098,8608,35.0,28394
04/24/2015,Bakken,10032,20425,50,188339,Barrels,Sand Frac,,9170249,9033,38.0,28425
04/08/2015,Bakken,11034,20595,50,215747,Barrels,Sand Frac,,9121901,8832,37.0,28554
04/24/2015,Three Forks,11167,20517,36,134353,Barrels,Sand Frac,,3973130,9218,39.0,28557
10/30/2014,Bakken,10910,20833,36,206015,Barrels,Sand Frac,,4076819,9177,75.0,28599
11/25/2014,Three Forks,11074,20938,36,98038,Barrels,Sand Frac,,6229694,8877,38.0,28600
11/25/2014,Three Forks,11418,21025,36,95600,Barrels,Sand Frac,,9370930,9044,37.2,28601
04/25/2015,Three Forks,11165,20511,36,96178,Barrels,Sand Frac,,,9390,40.0,28636
06/26/2015,Bakken,11125I,20460,50,192526,Barrels,Sand Frac,,9254340,8844,39.0,28652
06/09/2015,Three Forks Second,11185,20754,50,126978,Barrels,Sand Frac,,4230380,9122,39.0,28654
06/09/2015,Bakken,11113,20645,50,214895,Barrels,Sand Frac,,9543260,9411,41.0,28655
,,,,,,Barrels,Sand Frac,,,,,28658
,Bakken,11552,20265,50,171968,Barrels,Sand Frac,,9289252,9310,37.0,28744
07/13/2015,Bakken,18852,20390 |,6,19114,Barrels,Sand Frac,,577940,8860,36.7,28754
07/1212015,Three Forks,19681,20551,3,10330,Barrels,Sand Frac,,295940,8729,35.9,28755
03/16/2015,Three Forks,11078I,20374,50,190732,Barrels,Sand Frac,,9170590,9035,43.0,28976
07/16/2015,Bakken,,20891,36,209044,Barrels,Sand Frac,,4192230,9205,73.0,29242
05/26/2015,Bakken,11132,20435,50,168692,Barrels,Sand Frac,,9139069,9676,37.6,29316
07/16/2015,Bakken,11024,,36,209640,Barrels,Sand Frac,,4168220,9141,73.0,29334
06′20′2019,Bakken,,,40,,Barrels,Sand Frac,,6006140,,,30188
,,,,,305814,Barrels,Sand Frac,,6010700,,,30189
07/13/2015,Three Forks,19506,20531 |,4,13837,Barrels,Sand Frac,,404000,8765,36.2,30789
07/20/2013,,5625I,6150,8,9000,Gallons,Acid,,,,,90244
3111 013,Dakota,5720,5760,1,6000,Gallons,Acid~~~~~,,~~:..._o~,-1.~~~~~~2_61~0:..._~,~~--L~~~~~~-6_._o~~~~~-,90258
,,I,,,,Barrels,,,,,,90329
